logical_table,instance_id,episode_seed,treated_seat,difficulty_scalar,difficulty_tags,deal_rate,below_threshold_accept,worst_off,worst_off_share,dist_to_nbs,dist_to_ks,normalized_gini,normalized_nash_welfare_conditional,max_share,below_threshold_episode,normalized_primary,normalized_nash_welfare,justified_walk,missed_deal,ir_margin_of_no_deal,gini,instance_n_deals,instance_n_ir_deals,instance_feasible_all_ir,instance_ir_margin
all_llm,scorable_negotiation-L1-aabb4d986b,0,,0.614162,easy,1.0,0.0,0.43333333333333335,0.13772474304994106,0.5527773642186545,0.294947161689015,0.11155412488009328,0.6159478240760222,0.2520691583672661,0.0,0.8264,0.6159478240760222,nan,nan,nan,0.23911439114391145,256,22,True,0.4959349593495935
all_llm,scorable_negotiation-L4-712ba36a4f,4,,0.706191,hard;no-clear-win-win;pivotal-seat,1.0,0.0,0.0,0.0,0.5414187120150269,0.0,0.35180722891566263,0.0,0.3132530120481927,0.0,1.0,0.0,nan,nan,nan,0.4186046511627907,256,4,True,0.0
all_llm,scorable_negotiation-L3-9a673abad3,0,,0.699699,hard;high-conflict;pivotal-seat,1.0,0.0,0.08620689655172414,0.024408550315175408,0.0,0.0,0.24322632218065984,0.5375432415425709,0.2831391836560347,0.0,1.0,0.5375432415425709,nan,nan,nan,0.28679245283018867,256,9,True,0.08620689655172414
all_llm,scorable_negotiation-L1-19dae4b672,2,,0.62258,high-conflict;medium,1.0,0.0,0.1836734693877551,0.06661399479937662,0.26296012136086777,0.26296012136086777,0.22849721663910075,0.4886454343014315,0.338497780980536,0.0,0.9455,0.4886454343014315,nan,nan,nan,0.3076923076923077,256,27,True,0.4387755102040816
all_llm,scorable_negotiation-L0-65113008ad,2,,0.624796,medium,1.0,0.0,0.0945945945945946,0.033035172355423366,0.8898453416249925,0.6210363423118869,0.30255857424401805,0.446102450308922,0.34922896490018984,0.0,0.755,0.446102450308922,nan,nan,nan,0.3588235294117647,256,29,True,0.43902439024390244
all_llm,scorable_negotiation-L3-a8641f6c33,0,,0.651538,medium;small-frontier,1.0,0.0,0.3157894736842105,0.10500940001462124,0.9478878791784949,0.9478878791784949,0.22477975625847832,0.5538446835202459,0.33252976671296725,0.0,0.6793,0.5538446835202459,nan,nan,nan,0.2823529411764706,256,8,True,0.43333333333333335
all_llm,scorable_negotiation-L1-a9097927ce,2,,0.551691,easy,1.0,0.0,0.30985915492957744,0.11307112482686159,0.48685450697447535,0.48685450697447535,0.17235072143678773,0.5193987562502007,0.3173142238224179,0.0,0.7545,0.5193987562502007,nan,nan,nan,0.35818181818181816,256,37,True,0.4827586206896552
all_llm,scorable_negotiation-L4-faf2ca7d47,2,,0.694187,hard;no-clear-win-win;pivotal-seat;small-frontier,1.0,0.0,0.0,0.0,1.6670137467555703,0.6448855495781002,0.3346938775510204,0.0,0.30612244897959184,0.0,0.8196,0.0,nan,nan,nan,0.44819277108433736,256,5,True,0.0
all_llm,scorable_negotiation-L4-faf2ca7d47,0,,0.694187,hard;no-clear-win-win;pivotal-seat;small-frontier,1.0,0.0,0.0,0.0,1.560565338842529,0.34293109728417764,0.41851015801354396,0.0,0.3555304740406321,0.0,0.6768,0.0,nan,nan,nan,0.6723404255319149,256,5,True,0.0
all_llm,scorable_negotiation-L3-d9a0ef3c04,4,,0.7161,hard;no-clear-win-win;pivotal-seat,1.0,0.0,0.651685393258427,0.14009661835748793,0.0,0.0,0.05990338164251207,0.9179258437648328,0.214975845410628,0.0,1.0,0.9179258437648328,nan,nan,nan,0.29333333333333333,256,5,True,0.651685393258427
all_llm,scorable_negotiation-L3-a8641f6c33,2,,0.651538,medium;small-frontier,1.0,0.0,0.3157894736842105,0.10500940001462124,0.9478878791784949,0.9478878791784949,0.22477975625847832,0.5538446835202459,0.33252976671296725,0.0,0.6793,0.5538446835202459,nan,nan,nan,0.2823529411764706,256,8,True,0.43333333333333335
all_llm,scorable_negotiation-L2-df1e479b72,1,,0.63001,medium;small-frontier,1.0,0.0,0.3333333333333333,0.10245526810142076,0.4166238404000277,0.4166238404000277,0.20941683757957538,0.6033188256577366,0.3073658043042623,0.0,0.9608,0.6033188256577366,nan,nan,nan,0.3253588516746411,256,21,True,0.43103448275862066
all_llm,scorable_negotiation-L1-282034699c,3,,0.600081,easy;large-frontier,1.0,0.0,0.0273972602739726,0.009554898586641406,1.0153037661503979,0.6193523355408711,0.3427133452829254,0.3470111887551854,0.34875379841241133,0.0,0.7122,0.3470111887551854,nan,nan,nan,0.300507614213198,256,27,True,0.55
all_llm,scorable_negotiation-L4-8a29217702,3,,0.68927,hard;high-conflict;no-clear-win-win;small-frontier,1.0,0.0,0.49122807017543857,0.11676396997497913,0.0,0.0,0.1237698081734779,0.8113601931999888,0.23769808173477897,0.0,1.0,0.8113601931999888,nan,nan,nan,0.20210526315789473,256,4,True,0.49122807017543857
