logical_table,instance_id,episode_seed,bank_position,seat_index,difficulty_tags,deal_rate,normalized_primary,worst_off,max_share,seat_z,seat_z_uncond,seat_share,seat_advantage,seat_capture_z,coplayer_z,coplayer_z_uncond,z_parties
one_rational,scorable_negotiation-L1-aabb4d986b,2,6,0,easy,1.0,0.6014,0.04819277108433735,0.33247378631775804,0.4333333333,0.4333333333,0.19689836455417525,-0.00853258754499997,-0.03009493955951497,0.441865920845,0.441865920845,0.4333333333;0.5737704918;0.4137931034;0.04819277108;0.7317073171
one_rational,scorable_negotiation-L2-103cef6017,3,7,3,medium;small-frontier,1.0,0.9523,0.22972972972972974,0.3128979479193361,0.2297297297,0.2297297297,0.07188196099987292,-0.51182038685,-1.2145881987683187,0.74155011655,0.74155011655,0.2692307692;1;1;0.2297297297;0.696969697
one_rational,scorable_negotiation-L3-9a1b1c0960,3,23,4,hard;pivotal-seat,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L0-34733a57e6,0,20,0,easy;large-frontier,1.0,0.7553,0.056338028169014086,0.25729800458384045,0.671641791,0.671641791,0.2572980045753871,0.18696090588249997,0.6398838963661785,0.4846808851175,0.4846808851175,0.671641791;0.6162790698;0.05633802817;0.6470588235;0.619047619
one_rational,scorable_negotiation-L3-d9a0ef3c04,1,13,0,hard;no-clear-win-win;pivotal-seat,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L2-df1e479b72,2,2,1,medium;small-frontier,1.0,1.0,0.2619047619047619,0.2991893883566691,1.0,1.0,0.29918938835843295,0.4144088670000001,1.1051110044617818,0.5855911329999999,0.5855911329999999,1;1;0.6666666667;0.2619047619;0.4137931034
one_rational,scorable_negotiation-L4-d49e5fe070,1,19,1,medium;small-frontier,1.0,1.0,0.36,0.2667274675005067,0.6727272727,0.6727272727,0.17943484176938487,-0.09637720490000001,-0.3233987105829376,0.7691044776,0.7691044776,0.7164179104;0.6727272727;1;0.36;1
one_rational,scorable_negotiation-L1-282034699c,1,16,3,easy;large-frontier,1.0,1.0,0.26666666666666666,0.27612389851641195,0.7808219178,0.7808219178,0.21560359198695875,0.07063673260000003,0.2030632336744457,0.7101851852,0.7101851852,0.5740740741;1;0.2666666667;0.7808219178;1
one_rational,scorable_negotiation-L4-712ba36a4f,2,9,3,hard;no-clear-win-win;pivotal-seat,1.0,1.0,0.0,0.3132530120481927,1.0,1.0,0.3132530120489476,0.451923076925,0.8089033592159419,0.548076923075,0.548076923075,0;1;0.1923076923;1;1
one_rational,scorable_negotiation-L2-103cef6017,0,7,2,medium;small-frontier,1.0,0.9523,0.22972972972972974,0.3128979479193361,1.0,1.0,0.3128979479222924,0.451017451025,1.0702982677672783,0.548982548975,0.548982548975,0.2692307692;1;1;0.2297297297;0.696969697
