experiment-name,condition,focal_seat,instance_id,seed,episode_id,deal,focal_normalized_surplus,opponent_normalized_surplus,normalized_welfare,syntax_errors,economic_errors,turns,episode_json,transcript_md,transcript_html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-4abed256fd,0,scorable_negotiation-moves_chat-b5d678febf,1,0.102564,1.0,1.1026,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-b5d678febf.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-b5d678febf.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-b5d678febf.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-4abed256fd,0,scorable_negotiation-moves_chat-90f71da89d,1,0.102564,1.0,1.1026,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-90f71da89d.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-90f71da89d.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-90f71da89d.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-4abed256fd,1,scorable_negotiation-moves_chat-70f94b0da4,1,0.102564,1.0,1.1026,0,0,10,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-70f94b0da4.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-70f94b0da4.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-70f94b0da4.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-4abed256fd,1,scorable_negotiation-moves_chat-cae553c552,1,0.551282,0.285714,0.837,0,0,12,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-cae553c552.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-cae553c552.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-cae553c552.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-4d2e9ce257,0,scorable_negotiation-moves_chat-e69569ce61,1,1.0,0.029703,1.0297,0,0,6,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-e69569ce61.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e69569ce61.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e69569ce61.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-4d2e9ce257,0,scorable_negotiation-moves_chat-d40ec080b2,1,1.0,0.029703,1.0297,0,0,6,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-d40ec080b2.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-d40ec080b2.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-d40ec080b2.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-4d2e9ce257,1,scorable_negotiation-moves_chat-e9e2194900,1,0.666667,0.277228,0.9439,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-e9e2194900.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e9e2194900.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e9e2194900.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-4d2e9ce257,1,scorable_negotiation-moves_chat-2152ae37b2,1,1.0,0.029703,1.0297,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-2152ae37b2.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-2152ae37b2.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-2152ae37b2.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-5646c8be3d,0,scorable_negotiation-moves_chat-998da0647e,0,0.0,0.0,0.0,0,0,13,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-998da0647e.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-998da0647e.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-998da0647e.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-5646c8be3d,0,scorable_negotiation-moves_chat-fdaf1b3e0a,1,1.0,0.218718,1.2187,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-fdaf1b3e0a.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-fdaf1b3e0a.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-fdaf1b3e0a.html
